Chemical_formula	found_on_web
Sr(Ti0.6W0.4)O3	0
Eu(Th0.15Fe0.85)O3	0
(La0.3Nd0.7)AlO3	0
(Ce0.3Pr0.7)AlO3	0
(Ce0.05Pr0.95)AlO3	0
Sr(Hf0.3Ti0.7)O3	0
Eu(Cr0.2Ir0.8)O3	0
Sr(Li0.5Tc0.5)O3	0
(Sr0.25Yb0.75)MnO3	0
Sr(Hf0.85Mn0.15)O3	0
Eu(Cr0.3Ir0.7)O3	0
Eu(Ta0.2Fe0.8)O3	0
Sr(Fe0.15Tc0.85)O3	0
Eu(Fe0.55Ru0.45)O3	0
Sr(Th0.25Zr0.75)O3	0
Eu(Cr0.5Ir0.5)O3	0
Eu(Cr0.55Ir0.45)O3	0
(Sr0.3Yb0.7)MnO3	0
Eu(Ta0.1Fe0.9)O3	0
Eu(Fe0.5Ru0.5)O3	0
(Ce0.3Gd0.7)AlO3	0
Sr(Ti0.8Re0.2)O3	0
(Ba0.45Sr0.55)CeO3	0
Eu(Cr0.6Ir0.4)O3	0
Sr(Zr0.05Pb0.95)O3	0
Eu(Cr0.65Ir0.35)O3	0
Eu(Cr0.9Ir0.1)O3	0
Eu(Cr0.7Ir0.3)O3	0
Eu(Cr0.75Ir0.25)O3	0
Eu(U0.25Fe0.75)O3	0
Eu(Ta0.15Fe0.85)O3	0
La(Mn0.05Ir0.95)O3	0
Sr(Hf0.25Ti0.75)O3	0
Ba(Ce0.6Th0.4)O3	0
Eu(Cr0.4Ir0.6)O3	0
Eu(Fe0.8Ru0.2)O3	0
Sr(Mn0.1Tc0.9)O3	0
Eu(Fe0.85Ru0.15)O3	0
Eu(Cr0.8Ir0.2)O3	0
Eu(Cr0.85Ir0.15)O3	0
Sr(Y0.75Tc0.25)O3	0
Sr(Hf0.8Mn0.2)O3	0
La(Cr0.2Ir0.8)O3	0
Eu(Ta0.25Fe0.75)O3	0
Eu(Mn0.4Ir0.6)O3	0
Sr(Ti0.85Re0.15)O3	0
(La0.3Gd0.7)AlO3	0
(Ce0.3Pr0.7)GaO3	0
(Ce0.05Pr0.95)GaO3	0
Sr(Th0.55Ti0.45)O3	0
La(Mn0.15Ir0.85)O3	0
Eu(Fe0.25Ir0.75)O3	0
(Sr0.6Yb0.4)MnO3	0
(Nd0.3Eu0.7)CoO3	0
Sr(Mn0.2Tc0.8)O3	0
(La0.05Ce0.95)GaO3	0
Eu(Hf0.5Fe0.5)O3	0
Sr(Na0.05Tc0.95)O3	0
Ba(Ce0.7U0.3)O3	0
Ba(Th0.6Ti0.4)O3	0
Eu(Co0.6Re0.4)O3	0
Eu(Co0.65Re0.35)O3	0
(Pr0.05Eu0.95)CrO3	0
Sr(Hf0.75Mn0.25)O3	0
(Ba0.75Gd0.25)CeO3	0
Sr(Mn0.25Tc0.75)O3	0
Sr(Ti0.95W0.05)O3	0
Eu(Hf0.15Mn0.85)O3	0
(La0.3Ce0.7)GaO3	0
Sr(Mn0.05Re0.95)O3	0
Eu(Zr0.5Fe0.5)O3	0
Eu(Cr0.85Cd0.15)O3	0
La(Mn0.1Ir0.9)O3	0
Eu(Zr0.15Mn0.85)O3	0
Sr(Zr0.1Pb0.9)O3	0
Sr(Th0.05Zr0.95)O3	0
Sr(Li0.4W0.6)O3	0
Eu(Mn0.95Cu0.05)O3	0
(La0.05Eu0.95)AlO3	0
(Nd0.3Sm0.7)CoO3	0
Ba(Ce0.55Th0.45)O3	0
Ce(Mn0.95Cu0.05)O3	0
Pr(Sc0.2Co0.8)O3	0
Sr(Th0.15Zr0.85)O3	0
Ba(Ce0.5Th0.5)O3	0
Eu(Na0.05Ir0.95)O3	0
Eu(Cr0.85Cu0.15)O3	0
Sr(Th0.5Ti0.5)O3	0
(Pr0.05Nd0.95)AlO3	0
Eu(Th0.1Mn0.9)O3	0
(Ce0.3Sm0.7)GaO3	0
Sr(Th0.4Ti0.6)O3	0
Eu(Hf0.05Mn0.95)O3	0
Sr(Pa0.65Fe0.35)O3	0
Sr(Zr0.15Pb0.85)O3	0
(Pr0.05Eu0.95)AlO3	0
(Pr0.3Eu0.7)AlO3	0
Ba(Ce0.45Th0.55)O3	0
